cellarURIs,lang,mtypes,workTypes,subjects,subject_ids
http://publications.europa.eu/resource/cellar/2e49fb74-3c99-11e3-a247-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/6adf010a-2fe2-11e2-9b72-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,banking,http://eurovoc.europa.eu/2149
http://publications.europa.eu/resource/cellar/37c520a4-d98c-4553-8289-8c78e19d7d49,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,corporation tax,http://eurovoc.europa.eu/1331
http://publications.europa.eu/resource/cellar/da8b38a7-a54a-4f29-a8c4-2596ac1f8ae7,ENG,html,http://publications.europa.eu/ontology/cdm#decision,exchange rate,http://eurovoc.europa.eu/4390
http://publications.europa.eu/resource/cellar/c2b2c709-149d-4b02-9eda-e43a09ea0fe6,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,representative market price,http://eurovoc.europa.eu/2689
http://publications.europa.eu/resource/cellar/36680021-6807-4bea-a7c4-ec4f18325c11,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,financial policy,http://eurovoc.europa.eu/2502
http://publications.europa.eu/resource/cellar/45ebb0a0-ed76-48a0-ba47-bc49bbf20f3c,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,interest,http://eurovoc.europa.eu/1476
http://publications.europa.eu/resource/cellar/f6eb9a13-8490-45cc-b9f3-0cd656008ff7,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/ce5d7d63-f89b-47d8-ab09-dc4d0b7c8311,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/3babb559-6cd4-4116-9cf1-28f0a6f674c8,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation|http://publications.europa.eu/ontology/cdm#regulation_implementing,interest,http://eurovoc.europa.eu/1476
http://publications.europa.eu/resource/cellar/97ef5103-0b8e-469c-a768-2cecdd5529d6,ENG,html,http://publications.europa.eu/ontology/cdm#decision,redemption,http://eurovoc.europa.eu/3263
http://publications.europa.eu/resource/cellar/35898635-5fd6-403c-ba8a-5f975ee176b8,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/4500fe71-6c1e-45d7-b844-40e3d54f881a,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,exchange rate|national currency,http://eurovoc.europa.eu/1974|http://eurovoc.europa.eu/4390
http://publications.europa.eu/resource/cellar/bd3f5dbd-b415-41d8-bb79-72f3f9b8533c,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,minimum price,http://eurovoc.europa.eu/2681
http://publications.europa.eu/resource/cellar/9a2978e6-8600-4c5f-ad55-0c452e565a3c,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,capital market|financial transaction,http://eurovoc.europa.eu/4491|http://eurovoc.europa.eu/5156
http://publications.europa.eu/resource/cellar/e04c702b-da4b-49cc-89ac-4f42bdac76cd,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,representative price,http://eurovoc.europa.eu/2687
http://publications.europa.eu/resource/cellar/7923b074-22bf-11e8-ac73-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,financial legislation|financial services|investment,http://eurovoc.europa.eu/1488|http://eurovoc.europa.eu/560|http://eurovoc.europa.eu/8469
http://publications.europa.eu/resource/cellar/630cd3a8-7855-486a-9930-68ef22783e88,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,investment,http://eurovoc.europa.eu/1488
http://publications.europa.eu/resource/cellar/bd159e9b-17ce-11e4-933d-01aa75ed71a1,ENG,html|xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,investment,http://eurovoc.europa.eu/1488
http://publications.europa.eu/resource/cellar/60c13c39-cd7d-11e4-ab4d-01aa75ed71a1,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,bank|investment,http://eurovoc.europa.eu/1488|http://eurovoc.europa.eu/4738
